crsCode980485|deptId477869|crsName660042|descr521087
crsCode744819|deptId696491|crsName254625|descr10873
crsCode127475|deptId957083|crsName41913|descr533362
crsCode223353|deptId228738|crsName471687|descr112183
crsCode584376|deptId49604|crsName712170|descr763191
crsCode834423|deptId764690|crsName133252|descr857278
crsCode774334|deptId985648|crsName934015|descr575756
crsCode191338|deptId81634|crsName22961|descr156498
crsCode890144|deptId785778|crsName111002|descr442632
crsCode878686|deptId339297|crsName581834|descr155502
crsCode485165|deptId33384|crsName278560|descr737949
crsCode363891|deptId59177|crsName3053|descr228872
crsCode353253|deptId958967|crsName682486|descr867668
crsCode309465|deptId749950|crsName189656|descr720914
crsCode374713|deptId431697|crsName638726|descr615509
crsCode392660|deptId32527|crsName807854|descr307701
crsCode803662|deptId128752|crsName918138|descr113630
crsCode596344|deptId269489|crsName19507|descr512597
crsCode487930|deptId959322|crsName958399|descr235273
crsCode744365|deptId94569|crsName826827|descr192658
crsCode397957|deptId783517|crsName782084|descr583944
crsCode900587|deptId709984|crsName938814|descr455106
crsCode721769|deptId129041|crsName270136|descr869162
crsCode859711|deptId935854|crsName933943|descr418682
crsCode722642|deptId467739|crsName100302|descr826709
crsCode341764|deptId207313|crsName749759|descr775748
crsCode72671|deptId146790|crsName102396|descr538507
crsCode172202|deptId563700|crsName99910|descr697448
crsCode768542|deptId817577|crsName885815|descr666919
crsCode134835|deptId716075|crsName111515|descr744485
crsCode227411|deptId757669|crsName185912|descr929887
crsCode745520|deptId23923|crsName561198|descr565173
crsCode269041|deptId8486|crsName642041|descr316801
crsCode118855|deptId149684|crsName674644|descr574478
crsCode850654|deptId398271|crsName355128|descr758455
crsCode126320|deptId825984|crsName427139|descr845022
crsCode282163|deptId426640|crsName648691|descr495109
crsCode480691|deptId690899|crsName358865|descr915980
crsCode401018|deptId520449|crsName822890|descr459848
crsCode723627|deptId152722|crsName837048|descr57340
crsCode349166|deptId351878|crsName589088|descr25078
crsCode518469|deptId400398|crsName321557|descr221384
crsCode531197|deptId404378|crsName760474|descr766434
crsCode439041|deptId780928|crsName101156|descr160521
crsCode982281|deptId343494|crsName494045|descr356662
crsCode506351|deptId128844|crsName708293|descr25165
crsCode227554|deptId649625|crsName775923|descr980152
crsCode535347|deptId568448|crsName417466|descr883104
crsCode359885|deptId433262|crsName684775|descr133384
crsCode861634|deptId92435|crsName703526|descr994821
crsCode878976|deptId501995|crsName677187|descr403038
crsCode791330|deptId430632|crsName470990|descr353468
crsCode788963|deptId107902|crsName817305|descr762318
crsCode639597|deptId983114|crsName100059|descr479868
crsCode328847|deptId364960|crsName920247|descr61253
crsCode221262|deptId861487|crsName216598|descr513207
crsCode653074|deptId672467|crsName870960|descr914762
crsCode44225|deptId362424|crsName581866|descr182618
crsCode423529|deptId493349|crsName994458|descr762048
crsCode115991|deptId788076|crsName926438|descr213323
crsCode82117|deptId973421|crsName670474|descr657952
crsCode336495|deptId919298|crsName909624|descr779371
crsCode820294|deptId410890|crsName90265|descr975745
crsCode262398|deptId137109|crsName545010|descr901012
crsCode738498|deptId396457|crsName395298|descr919890
crsCode79623|deptId82607|crsName167367|descr726746
crsCode538878|deptId692989|crsName291137|descr356699
crsCode265123|deptId938433|crsName109262|descr956235
crsCode926771|deptId539526|crsName825749|descr213122
crsCode498874|deptId539494|crsName746750|descr241841
crsCode48842|deptId143437|crsName318206|descr555393
crsCode176712|deptId144677|crsName796592|descr131468
crsCode966944|deptId374564|crsName783007|descr94066
crsCode146584|deptId565102|crsName387360|descr661721
crsCode536962|deptId101095|crsName876700|descr459205
crsCode650956|deptId544281|crsName642092|descr320784
crsCode329393|deptId399935|crsName541853|descr960134
crsCode169810|deptId521964|crsName626002|descr265567
crsCode830175|deptId130715|crsName47433|descr190426
crsCode508911|deptId205332|crsName171254|descr977394
crsCode246128|deptId175415|crsName447691|descr50239
crsCode498616|deptId470824|crsName911449|descr55852
crsCode385914|deptId706583|crsName874000|descr355345
crsCode20116|deptId340330|crsName84130|descr311149
crsCode103556|deptId483530|crsName905734|descr411009
crsCode477883|deptId764039|crsName799513|descr258315
crsCode312458|deptId270505|crsName3743|descr33054
crsCode988153|deptId98196|crsName397222|descr974106
crsCode40631|deptId767254|crsName101259|descr887054
crsCode296811|deptId239761|crsName841238|descr909735
crsCode605672|deptId80064|crsName85633|descr706898
crsCode750336|deptId137447|crsName502678|descr845878
crsCode184880|deptId378779|crsName811574|descr221191
crsCode441208|deptId342443|crsName706421|descr2377
crsCode143054|deptId35882|crsName975907|descr147042
crsCode431912|deptId326810|crsName907366|descr532185
crsCode404599|deptId194679|crsName737475|descr130225
crsCode336884|deptId980637|crsName158715|descr845020
crsCode690322|deptId482134|crsName385746|descr312798
crsCode411411|deptId881604|crsName689707|descr864767
crsCode620727|deptId867111|crsName482446|descr151276
crsCode889423|deptId607692|crsName937420|descr622316
crsCode294511|deptId623443|crsName737850|descr672186
crsCode752321|deptId213275|crsName178648|descr470467
crsCode912951|deptId662284|crsName159894|descr186237
crsCode216024|deptId627200|crsName838636|descr397601
crsCode805884|deptId196111|crsName895463|descr43527
crsCode717779|deptId156725|crsName928836|descr661469
crsCode41887|deptId956130|crsName662005|descr124548
crsCode376258|deptId481439|crsName250560|descr602888
crsCode291633|deptId262296|crsName76295|descr673209
crsCode323144|deptId339914|crsName878434|descr38122
crsCode559928|deptId760138|crsName370856|descr984774
crsCode812187|deptId4847|crsName621453|descr68362
crsCode949416|deptId55965|crsName781861|descr657890
crsCode745346|deptId226095|crsName636295|descr125156
crsCode776299|deptId121792|crsName414221|descr246051
crsCode726421|deptId986006|crsName282039|descr311537
crsCode483353|deptId491052|crsName83951|descr101685
crsCode30977|deptId563931|crsName206631|descr36837
crsCode72511|deptId867236|crsName504862|descr617119
crsCode817665|deptId516700|crsName581058|descr945642
crsCode834524|deptId584244|crsName742448|descr309380
crsCode23589|deptId66724|crsName257943|descr953191
crsCode444767|deptId501364|crsName11386|descr139485
crsCode409550|deptId878759|crsName177427|descr734588
crsCode813802|deptId981124|crsName917909|descr958721
crsCode458159|deptId150658|crsName691851|descr235845
crsCode158481|deptId343951|crsName270172|descr614238
crsCode486989|deptId903549|crsName287663|descr216085
crsCode819931|deptId259786|crsName145899|descr804095
crsCode506368|deptId942282|crsName785559|descr609338
crsCode649663|deptId393459|crsName881121|descr925510
crsCode130223|deptId133125|crsName983290|descr972733
crsCode572776|deptId360724|crsName176414|descr505264
crsCode815319|deptId512499|crsName921777|descr501536
crsCode169330|deptId935167|crsName803973|descr704470
crsCode988165|deptId106885|crsName281848|descr436511
crsCode597162|deptId591633|crsName858299|descr228136
crsCode385302|deptId419924|crsName947437|descr671218
crsCode694672|deptId610737|crsName772453|descr452465
crsCode892222|deptId877284|crsName893839|descr146439
crsCode129048|deptId265039|crsName159085|descr320344
crsCode750909|deptId680931|crsName407423|descr219913
crsCode246884|deptId962407|crsName552126|descr858074
crsCode451883|deptId107688|crsName692802|descr602974
crsCode339531|deptId708285|crsName692931|descr228435
crsCode618349|deptId991094|crsName854716|descr505058
crsCode979285|deptId205089|crsName882795|descr266612
crsCode500861|deptId826680|crsName257973|descr27950
crsCode224829|deptId576426|crsName458087|descr694347
crsCode66981|deptId220676|crsName930648|descr884565
crsCode884781|deptId497724|crsName660586|descr713280
crsCode656772|deptId417370|crsName487855|descr202851
crsCode544836|deptId655044|crsName127336|descr179411
crsCode46215|deptId521764|crsName616360|descr976862
crsCode744467|deptId980088|crsName785751|descr736673
crsCode735792|deptId76085|crsName88530|descr468743
crsCode671323|deptId87001|crsName203824|descr33758
crsCode959123|deptId7756|crsName796640|descr493847
crsCode359184|deptId169970|crsName776942|descr674714
crsCode896275|deptId93520|crsName611492|descr64132
crsCode84632|deptId370200|crsName611213|descr68478
crsCode511401|deptId470162|crsName762709|descr327355
crsCode107533|deptId957673|crsName770764|descr368846
crsCode510941|deptId934544|crsName135689|descr749797
crsCode670838|deptId867599|crsName321451|descr19174
crsCode293450|deptId933358|crsName282235|descr629924
crsCode286929|deptId756604|crsName879981|descr622270
crsCode932510|deptId375100|crsName559429|descr416660
crsCode685580|deptId336621|crsName10775|descr71143
crsCode212247|deptId319477|crsName23206|descr985228
crsCode480902|deptId50345|crsName885486|descr406925
crsCode443270|deptId119867|crsName593406|descr465692
crsCode958227|deptId961025|crsName278396|descr840181
crsCode113423|deptId922526|crsName440140|descr314319
crsCode340341|deptId342479|crsName101132|descr96126
crsCode164455|deptId260692|crsName489335|descr488936
crsCode231843|deptId814072|crsName840169|descr106593
crsCode543252|deptId261695|crsName592577|descr289446
crsCode698309|deptId753004|crsName586210|descr73843
crsCode637616|deptId930604|crsName788244|descr109505
crsCode666997|deptId814370|crsName522569|descr478054
crsCode362320|deptId517241|crsName127084|descr638527
crsCode9439|deptId992174|crsName739375|descr432179
crsCode386059|deptId152156|crsName898643|descr48609
