crsCode583527 deptId434339 crsName389811 descr103403
crsCode244506 deptId268256 crsName55545 descr840381
crsCode109606 deptId661270 crsName508738 descr907607
crsCode926868 deptId96789 crsName861317 descr430417
crsCode317028 deptId401962 crsName742616 descr518715
crsCode493215 deptId105922 crsName352330 descr184347
crsCode245064 deptId325750 crsName535984 descr561601
crsCode329904 deptId250423 crsName406461 descr408841
crsCode71593 deptId313815 crsName864523 descr429613
crsCode157330 deptId516530 crsName895350 descr897220
crsCode8081 deptId2231 crsName968423 descr291611
crsCode883488 deptId119703 crsName216239 descr764398
crsCode189374 deptId757576 crsName299145 descr578948
crsCode212869 deptId274998 crsName825474 descr259492
crsCode35356 deptId611143 crsName412980 descr468535
crsCode469570 deptId588809 crsName311022 descr860923
crsCode257611 deptId245307 crsName892911 descr205665
crsCode918760 deptId771957 crsName85777 descr153221
crsCode112094 deptId91124 crsName83203 descr479496
crsCode138777 deptId153094 crsName78767 descr458315
crsCode693146 deptId347086 crsName408634 descr938121
crsCode954827 deptId410933 crsName272617 descr241297
crsCode167667 deptId73965 crsName7137 descr668575
crsCode629828 deptId866467 crsName903111 descr912470
crsCode103698 deptId847297 crsName664838 descr959901
crsCode125918 deptId322461 crsName658670 descr201555
crsCode67601 deptId911937 crsName998522 descr513392
crsCode234180 deptId935895 crsName373546 descr872313
crsCode46012 deptId613169 crsName83023 descr466911
crsCode149875 deptId980595 crsName98853 descr155829
crsCode395217 deptId767774 crsName891354 descr789517
crsCode24442 deptId242105 crsName668077 descr543470
crsCode769984 deptId507166 crsName611058 descr894067
crsCode434297 deptId792670 crsName8497 descr959043
crsCode18540 deptId145362 crsName840814 descr436840
crsCode656165 deptId609471 crsName543876 descr255950
crsCode735848 deptId454501 crsName64939 descr901083
crsCode683394 deptId466340 crsName539481 descr877413
crsCode952443 deptId149707 crsName867012 descr236180
crsCode568807 deptId878719 crsName627908 descr369237
crsCode490075 deptId902725 crsName664343 descr788472
crsCode203709 deptId809964 crsName663487 descr801064
crsCode576757 deptId308634 crsName22854 descr784772
crsCode955520 deptId706993 crsName694305 descr837342
crsCode206883 deptId166749 crsName29682 descr9679
crsCode851580 deptId446781 crsName448168 descr490868
crsCode684147 deptId888491 crsName300546 descr293706
crsCode814672 deptId498282 crsName140272 descr980130
crsCode314023 deptId801579 crsName772378 descr774016
crsCode553070 deptId709948 crsName911802 descr262998
crsCode578543 deptId343566 crsName818084 descr830232
crsCode482008 deptId810465 crsName736294 descr688828
crsCode611312 deptId466894 crsName393546 descr599120
crsCode48356 deptId686000 crsName229304 descr640247
crsCode381248 deptId573296 crsName272888 descr818881
crsCode632761 deptId383788 crsName277206 descr641254
crsCode75110 deptId324164 crsName371550 descr647519
crsCode663951 deptId637632 crsName606343 descr795298
crsCode951390 deptId270689 crsName749548 descr257336
crsCode803250 deptId297091 crsName631605 descr790844
crsCode524819 deptId433899 crsName888532 descr866098
crsCode957504 deptId842227 crsName532460 descr154945
crsCode228451 deptId908687 crsName741452 descr431758
crsCode254310 deptId432763 crsName754200 descr316023
crsCode805918 deptId804739 crsName145224 descr53929
crsCode845797 deptId106286 crsName20810 descr19679
crsCode79943 deptId422408 crsName764163 descr140024
crsCode66003 deptId655179 crsName475251 descr905010
crsCode884177 deptId885545 crsName874231 descr102729
crsCode606290 deptId217657 crsName640103 descr374886
crsCode942178 deptId745019 crsName580383 descr844358
crsCode707674 deptId658122 crsName733275 descr631464
crsCode829138 deptId861341 crsName193852 descr760882
crsCode398964 deptId17401 crsName302631 descr137057
crsCode118637 deptId611447 crsName221581 descr59627
crsCode714620 deptId52909 crsName257925 descr645428
crsCode150380 deptId318780 crsName383380 descr168744
crsCode309855 deptId545974 crsName904847 descr622267
crsCode758784 deptId529513 crsName18904 descr395323
crsCode97498 deptId838605 crsName980228 descr651022
crsCode781319 deptId416518 crsName5917 descr734734
crsCode755776 deptId72917 crsName428099 descr287549
crsCode836244 deptId525473 crsName635693 descr266599
crsCode315444 deptId992990 crsName49741 descr777427
crsCode693866 deptId737176 crsName355538 descr381349
crsCode58858 deptId853726 crsName756039 descr274259
crsCode472769 deptId305357 crsName572376 descr597762
crsCode82730 deptId903992 crsName412213 descr40060
crsCode245952 deptId476081 crsName357071 descr792592
crsCode353997 deptId164919 crsName885184 descr513159
crsCode21568 deptId377147 crsName296135 descr628222
crsCode287421 deptId23953 crsName732657 descr230885
crsCode209039 deptId41904 crsName251603 descr721171
crsCode281529 deptId39269 crsName396147 descr211203
crsCode678122 deptId804443 crsName822406 descr147759
crsCode426126 deptId633407 crsName97620 descr71559
crsCode32065 deptId342291 crsName428344 descr637582
crsCode402782 deptId772049 crsName760451 descr803346
crsCode675766 deptId878457 crsName60672 descr587782
crsCode993372 deptId217209 crsName735955 descr20861
crsCode30750 deptId277113 crsName660219 descr259653
crsCode48974 deptId714880 crsName197302 descr734942
crsCode994238 deptId349766 crsName140612 descr495126
crsCode193545 deptId121110 crsName999107 descr475458
crsCode349582 deptId101407 crsName532409 descr986458
crsCode315640 deptId620825 crsName520945 descr612466
crsCode27449 deptId568591 crsName60284 descr877009
crsCode31829 deptId602636 crsName320409 descr137520
crsCode931034 deptId504230 crsName350447 descr647824
crsCode138542 deptId962658 crsName434806 descr280888
crsCode44033 deptId884162 crsName326838 descr489290
crsCode377569 deptId489970 crsName848808 descr775361
crsCode211948 deptId545675 crsName895416 descr400586
crsCode937759 deptId33537 crsName265580 descr9147
crsCode687245 deptId237168 crsName91486 descr272692
crsCode307756 deptId984382 crsName767397 descr441489
crsCode719690 deptId465260 crsName898066 descr662985
crsCode475037 deptId353598 crsName426454 descr763750
crsCode449335 deptId30725 crsName707393 descr358497
crsCode850776 deptId725254 crsName570469 descr854425
